"","...1","ID","location","core_assisted","Machine","TUL","RPE - E","RPE - D"
"223",223,32,4,"core","F2.1",120,9,8
"224",224,33,4,"core","F2.1",120,10,8
"225",225,34,4,"core","F2.1",105,7,8
"226",226,35,4,"core","F2.1",105,9,7
"227",227,36,4,"core","F2.1",115,10,7
"228",228,37,4,"core","F2.1",120,7,7
"229",229,38,4,"core","F2.1",120,5,5
"230",230,40,4,"core","F2.1",90,9,8
"231",231,42,4,"core","F2.1",115,10,7
"232",232,44,4,"core","F2.1",100,9,9
"233",233,45,4,"core","F2.1",90,9,7
"234",234,7,3,"core","F2.1",485,9,6
"235",235,1,3,"assisted","F2.1",180,7,7
"236",236,2,3,"assisted","F2.1",190,9,9
"237",237,3,3,"assisted","F2.1",121,9,7
"238",238,4,3,"assisted","F2.1",90,9,9
"239",239,5,3,"assisted","F2.1",171,5,5
"240",240,6,3,"assisted","F2.1",165,9,6
"241",241,7,3,"assisted","F2.1",530,7,6
"242",242,8,3,"assisted","F2.1",210,10,10
"243",243,9,2,"assisted","F2.1",180,7,7
"244",244,10,2,"assisted","F2.1",170,9,8
"245",245,11,2,"assisted","F2.1",170,9,8
"246",246,12,2,"assisted","F2.1",130,9,6
"247",247,13,2,"assisted","F2.1",162,9,3
"248",248,19,1,"assisted","F2.1",118,8,9
"249",249,20,1,"assisted","F2.1",130,10,9
"250",250,25,5,"assisted","F2.1",96,8,3
"251",251,27,4,"assisted","F2.1",100,10,4
"252",252,28,4,"assisted","F2.1",137,10,0
"253",253,30,4,"assisted","F2.1",127,10,10
"254",254,31,4,"assisted","F2.1",200,9,9
"255",255,32,4,"assisted","F2.1",98,8,9
"256",256,33,4,"assisted","F2.1",120,10,8
"257",257,34,4,"assisted","F2.1",105,9,9
"258",258,35,4,"assisted","F2.1",105,9,9
"259",259,36,4,"assisted","F2.1",140,10,10
"260",260,37,4,"assisted","F2.1",145,10,8
"261",261,38,4,"assisted","F2.1",140,6,6
"262",262,40,4,"assisted","F2.1",145,10,9
"263",263,42,4,"assisted","F2.1",125,10,8
"264",264,44,4,"assisted","F2.1",140,10,10
"265",265,45,4,"assisted","F2.1",100,10,8
"266",266,8,3,"core","F2.1",205,9,9
"267",267,39,4,"core","F6",120,9,5
"268",268,39,4,"assisted","F6",180,10,10
"269",269,40,4,"core","K2",100,9,8
"270",270,40,4,"assisted","K2",140,9,9
