"","id","location","core_assisted","session_rpe"
"161",644,8,"assisted",14
"162",760,17,"assisted",12
"163",608,5,"assisted",13
"164",168,27,"assisted",14
"165",1530,3,"assisted",19
"166",1559,12,"assisted",10
"167",1186,2,"assisted",13
"168",644,8,"assisted",14
"169",362,19,"assisted",18
"170",1562,3,"assisted",16
"171",122,3,"assisted",18
"172",49,16,"assisted",13
"173",905,17,"assisted",12
"174",675,7,"assisted",13
"175",1511,19,"assisted",14
"176",658,19,"assisted",14
"177",707,6,"assisted",18
"178",535,24,"assisted",15
"179",156,25,"assisted",13
"180",1641,3,"assisted",16
"181",667,11,"assisted",17
"182",516,23,"assisted",18
"183",74,6,"assisted",14
"184",1438,2,"assisted",13
"185",1248,23,"assisted",14
"186",947,12,"assisted",15
"187",206,3,"assisted",13
"188",636,4,"assisted",13
"189",732,8,"assisted",15
"190",497,9,"assisted",12
"191",322,22,"assisted",13
"192",459,14,"assisted",13
"193",951,17,"assisted",14
"194",1189,2,"assisted",12
"195",1317,27,"assisted",18
"196",965,11,"assisted",8
"197",590,24,"assisted",16
"198",80,3,"assisted",18
"199",839,9,"assisted",18
"200",1594,24,"assisted",13
"201",100,4,"assisted",14
"202",1589,15,"assisted",8
"203",88,17,"assisted",13
"204",1022,24,"assisted",8
"205",374,15,"assisted",15
"206",931,23,"assisted",9
"207",886,15,"assisted",12
"208",576,15,"assisted",15
"209",430,15,"assisted",15
"210",711,4,"assisted",14
"211",983,13,"assisted",15
"212",255,12,"assisted",18
"213",1310,8,"assisted",15
"214",1506,6,"assisted",14
"215",1522,23,"assisted",16
"216",202,25,"assisted",17
"217",968,17,"assisted",13
"218",1481,3,"assisted",18
"219",456,8,"assisted",15
"220",39,15,"assisted",14
"221",159,2,"assisted",15
"222",1280,7,"assisted",16
"223",1015,3,"assisted",14
"224",915,8,"assisted",17
"225",1323,20,"assisted",13
"226",1558,3,"assisted",17
"227",644,8,"assisted",14
"228",370,3,"assisted",20
"229",349,19,"assisted",15
"230",145,22,"assisted",13
"231",906,15,"assisted",14
"232",1186,2,"assisted",13
"233",668,12,"assisted",13
"234",732,8,"assisted",15
"235",1375,24,"assisted",14
"236",1476,24,"assisted",18
"237",271,24,"assisted",11
"238",1638,8,"assisted",18
"239",1338,6,"assisted",14
"240",1238,12,"assisted",18
"241",675,7,"assisted",13
"242",1596,15,"assisted",14
"243",126,22,"assisted",14
"244",221,6,"assisted",15
"245",745,4,"assisted",15
"246",335,2,"assisted",12
"247",1173,17,"assisted",13
"248",121,3,"assisted",14
"249",633,6,"assisted",13
"250",1113,15,"assisted",15
"251",274,6,"assisted",12
"252",837,3,"assisted",18
"253",1417,17,"assisted",13
"254",1100,3,"assisted",19
"255",1371,18,"assisted",13
"256",441,17,"assisted",13
"257",381,19,"assisted",16
"258",644,8,"assisted",14
"259",1456,13,"assisted",19
"260",1128,12,"assisted",17
"261",863,3,"assisted",16
"262",289,27,"assisted",16
"263",267,3,"assisted",17
"264",395,3,"assisted",17
"265",393,27,"assisted",16
"266",31,19,"assisted",17
"267",957,14,"assisted",11
"268",1576,17,"assisted",13
"269",41,17,"assisted",13
"270",432,3,"assisted",14
"271",523,15,"assisted",15
"272",1402,9,"assisted",17
"273",931,23,"assisted",9
"274",4,13,"assisted",17
"275",1219,22,"assisted",13
"276",732,8,"assisted",15
"277",1140,17,"assisted",13
"278",808,17,"assisted",13
"279",493,14,"assisted",13
"280",62,28,"assisted",18
"281",1328,2,"assisted",13
"282",644,8,"assisted",14
"283",737,21,"assisted",11
"284",1398,4,"assisted",15
"285",1598,22,"assisted",11
"286",148,4,"assisted",15
"287",931,23,"assisted",9
"288",1071,4,"assisted",15
"289",198,25,"assisted",14
"290",272,25,"assisted",8
"291",1063,8,"assisted",13
"292",1076,17,"assisted",12
"293",905,17,"assisted",12
"294",89,2,"assisted",14
"295",54,8,"assisted",14
"296",236,17,"assisted",13
"297",776,13,"assisted",12
"298",1188,22,"assisted",15
"299",893,17,"assisted",19
"300",393,27,"assisted",16
"301",1069,17,"assisted",12
"302",1641,3,"assisted",16
"303",189,15,"assisted",13
"304",1385,4,"assisted",14
"305",93,3,"assisted",14
"306",1211,15,"assisted",15
"307",1350,16,"assisted",17
"308",25,25,"assisted",16
"309",1560,17,"assisted",12
"310",912,8,"assisted",18
"311",356,19,"assisted",15
"312",1306,15,"assisted",14
"313",754,17,"assisted",13
"314",1476,24,"assisted",18
"315",73,15,"assisted",14
"316",971,17,"assisted",13
"317",982,13,"assisted",12
"318",325,24,"assisted",11
"319",587,17,"assisted",13
"320",1032,11,"assisted",8
"321",646,17,"assisted",13
"322",539,17,"assisted",13
"323",362,19,"assisted",18
"324",1124,14,"assisted",10
"325",1174,3,"assisted",17
"326",929,13,"assisted",8
"327",1112,9,"assisted",13
"328",573,3,"assisted",18
"329",768,15,"assisted",11
"330",1660,12,"assisted",17
"331",980,24,"assisted",13
"332",137,25,"assisted",16
